name	nodeType	year	placeNameFromCompany	placeNameGeocoded	lat	lon	osmID	textModified	textOriginal	normalizationNotes	lineID
Walter Hoene A.-G., Berlin-Charlottenburg.	company	1926	Berlin-Charlottenburg	Berlin-Charlottenburg	52.5043157	13.3026447	254087661	False	Walter Hoene A.-G., Berlin-Charlottenburg.		105
Schöfferhof-Binding Bürgerbräu A.-G. in Frankfurt a. M.	company	1926	Frankfurt a. M.	Frankfurt am Main	50.1106444	8.6820917	62400	False	Schöfferhof-Binding Bürgerbräu A.-G. in Frankfurt a. M.		111
Schweizerische Lokomotiv- und Maschinenfabrik Winterthur.	company	1926	Winterthur	Winterthur	47.4991723	8.7291498	1682243	False	Schweizerische Lokomotiv- und Maschinenfabrik Winterthur.		115
Deutsches Museum, München.	company	1926	München	München	48.1371079	11.5753822	62428	False	Deutsches Museum, München.		118
Schweizer Industrie-Gesellschaft, Neuhausen.	company	1926	Neuhausen	Neuhausen am Rheinfall	47.6811644	8.6197347	1683680	False	Schweizer Industrie-Gesellschaft, Neuhausen.		119
Schweizer Landesmuseum, Zürich.	company	1926	Zürich	Zürich	47.3744489	8.5410422	1682248	False	Schweizer Landesmuseum, Zürich.		120
Barmstedter und Nationalbank, Kommanditgesellschaft auf Aktien.	company	1926					-1	False	Barmstedter und Nationalbank, Kommanditgesellschaft auf Aktien.		127
Herms Aktiengesellschaft, Bremen.	company	1926	Bremen	Bremen	53.0758196	8.8071646	62559	False	Herms Aktiengesellschaft, Bremen.		133
Deutsche Gasgesellschaft A.-G.	company	1926					-1	False	Deutsche Gasgesellschaft A.-G.		137
Westerwälder Ringofen-Ziegelei A.-G., Düsseldorf.	company	1926	Düsseldorf	Düsseldorf	51.2254018	6.7763137	62539	False	Westerwälder Ringofen-Ziegelei A.-G., Düsseldorf.		148
Kur- und Neumärkische Ritterschaftliche Darlehenskasse, Zweigniederlassung Fürstenwalde.	company	1926	Fürstenwalde	Fürstenwalde	53.41531	21.1928	31575180	False	Kur- und Neumärkische Ritterschaftliche Darlehenskasse, Zweigniederlassung Fürstenwalde.		152
Ruhlaer Eisenbahn.	company	1926					-1	False	Ruhlaer Eisenbahn.		156
Großkraftwerk Stettin A.-G.	company	1926	Stettin	Stettin	53.42968095	14.592912670292268	342935	False	Großkraftwerk Stettin A.-G.		162
C. H. Knorr A.-G., Heilbronn.	company	1926	Heilbronn	Heilbronn	49.142291	9.218655	62751	False	C. H. Knorr A.-G., Heilbronn.		169
Heilbronner Gewerbekasse. A.-G.	company	1926					-1	False	Heilbronner Gewerbekasse. A.-G.		174
Kammgarnspinnerei Bietigheim.	company	1926	Bietigheim	Bietigheim	48.9126152	8.2539859	907191	False	Kammgarnspinnerei Bietigheim.		175
Deutsche Assekuranz A.-G. in Nürnberg.	company	1926	Nürnberg	Nürnberg	49.453872	11.077298	62780	False	Deutsche Assekuranz A.-G. in Nürnberg.		179
Gersdorfer Steinkohlenbau-Verein Pluto- und Merkur-Schacht.	company	1926					-1	False	Gersdorfer Steinkohlenbau-Verein Pluto- und Merkur-Schacht.	uncertain	187
Hammerwerke und Gesenkschmiede Dortmund Aktiengesellschaft Dortmund.	company	1926	Dortmund	Dortmund	51.5142273	7.4652789	1829065	False	Hammerwerke und Gesenkschmiede Dortmund Aktiengesellschaft Dortmund.		199
A. Mofard & Co. Act.-Ges. Spandau.	company	1926	Spandau	Spandau	52.5192672	13.195439	16343	False	A. Mofard & Co. Act.-Ges. Spandau.		203
Breslauer Chem. Fabrik vorm. Oscar Heymann in Breslau.	company	1926	Breslau	Breslau	51.1089776	17.0326689	451516	False	Breslauer Chem. Fabrik vorm. Oscar Heymann in Breslau.		205
Sprat's Aktiengesellschaft, Berlin-Rummelsburg.	company	1926	Berlin-Rummelsburg	Rummelsburg	52.501288	13.478367	29803428	False	Sprat's Aktiengesellschaft, Berlin-Rummelsburg.		206
A.-G. für Brauereiunternehmungen, Berlin.	company	1926	Berlin	Berlin	52.510885	13.3989367	62422	False	A.-G. für Brauereiunternehmungen, Berlin.		219
Philipp Mühsam Actiengesellschaft, Berlin.	company	1926	Berlin	Berlin	52.510885	13.3989367	62422	False	Philipp Mühsam Actiengesellschaft, Berlin.		223
Bleiwerk Goslar G. m. b. H., Goslar.	company	1926	Goslar	Goslar	51.9059936	10.4266284	1421453	False	Bleiwerk Goslar G. m. b. H., Goslar.		227
Deutsches Kalikontor G. m. b. H., Berlin.	company	1926	Berlin	Berlin	52.510885	13.3989367	62422	False	Deutsches Kalikontor G. m. b. H., Berlin.		229
Ferd. Karnatzki A.-G., Wernigerode a. Harz.	company	1926	Wernigerode a. Harz	Wernigerode	51.8308332	10.7839026	1173370851	False	Ferd. Karnatzki A.-G., Wernigerode a. Harz.		230
Gebr. Niemann A.-G., Brauerei, Staßfurt.	company	1926	Staßfurt	Staßfurt	51.8514515	11.5929455	82601	False	Gebr. Niemann A.-G., Brauerei, Staßfurt.		231
Sudenburger Maschinenfabrik und Eisengießerei A.-G., Magdeburg.	company	1926	Magdeburg	Magdeburg	52.1315889	11.6399609	62481	False	Sudenburger Maschinenfabrik und Eisengießerei A.-G., Magdeburg.		234
W. Ritmüller & Sohn A.-G., Göttingen.	company	1926	Göttingen	Göttingen	51.5328328	9.9351811	191361	False	W. Ritmüller & Sohn A.-G., Göttingen.		237
Prov. Feuerversich.-Anstalt der Rheinprovinz.	company	1926					-1	False	Prov. Feuerversich.-Anstalt der Rheinprovinz.		241
Abt. Grube Clara III.	company	1926					-1	False	Abt. Grube Clara III.		252
Reichsbank.	company	1926					-1	False	Reichsbank.	place	256
Bayerische Vereinsbank, Filiale Bayreuth.	company	1926	Bayreuth	Bayreuth	49.9427202	11.5763079	62640	False	Bayerische Vereinsbank, Filiale Bayreuth.		260
Preußischen Staatsrats.	company	1926					-1	False	Preußischen Staatsrats.		272
Provinzial-Ausschusses der Rheinprovinz.	company	1926					-1	False	Provinzial-Ausschusses der Rheinprovinz.		274
Gemeinnützige A.-G. für Wohnungsbau, Köln.	company	1926	Köln	Köln	50.938361	6.959974	62578	False	Gemeinnützige A.-G. für Wohnungsbau, Köln.		277
Kölner Messegesellschaft m. b. H.	company	1926	Köln	Köln	50.938361	6.959974	62578	False	Kölner Messegesellschaft m. b. H.		278
Rhein. Luftverkehrs-Ges. m. b. H.	company	1926					-1	False	Rhein. Luftverkehrs-Ges. m. b. H.		279
Rhein. A.-G. für Braunkohlenbergbau u. Briketfabrikation, Köln.	company	1926	Köln	Köln	50.938361	6.959974	62578	False	Rhein. A.-G. für Braunkohlenbergbau u. Briketfabrikation, Köln.		282
Rhein. Wohnungsfürsorge-Gesellschaft, Düsseldorf.	company	1926	Düsseldorf	Düsseldorf	51.2254018	6.7763137	62539	False	Rhein. Wohnungsfürsorge-Gesellschaft, Düsseldorf.		285
Dampfschiffahrts-Gesellschaft für den Nieder- und Mittelrhein, Düsseldorf.	company	1926	Düsseldorf	Düsseldorf	51.2254018	6.7763137	62539	False	Dampfschiffahrts-Gesellschaft für den Nieder- und Mittelrhein, Düsseldorf.		289
A.-G. Brauerei Englisch Brunnen, Elbing.	company	1926	Elbing	Elbing	54.1988997	19.44108568736702	2675360	False	A.-G. Brauerei Englisch Brunnen, Elbing.		293
Adler-Pen A.-G., Nürnberg.	company	1926	Nürnberg	Nürnberg	49.453872	11.077298	62780	False	Adler-Pen A.-G., Nürnberg.		301
Allgemeine Deutsche Handelsaktiengesellschaft, München.	company	1926	München	München	48.1371079	11.5753822	62428	False	Allgemeine Deutsche Handelsaktiengesellschaft, München.		302
Danubia Aktiengesellschaft für Mineralölindustrie, Regensburg.	company	1926	Regensburg	Regensburg	49.0195333	12.0974869	62411	False	Danubia Aktiengesellschaft für Mineralölindustrie, Regensburg.		306
Zuckerfabrik Glauzig Akt.-Ges., Glauzig.	company	1926	Glauzig	Glauzig	51.6551522	11.9921167	2063886	False	Zuckerfabrik Glauzig Akt.-Ges., Glauzig.		309
Adler & Oppenheimer Aktiengesellschaft, Berlin.	company	1926	Berlin	Berlin	52.510885	13.3989367	62422	False	Adler & Oppenheimer Aktiengesellschaft, Berlin.		313
Deutsche Erdöl-Aktiengesellschaft, Berlin.	company	1926	Berlin	Berlin	52.510885	13.3989367	62422	False	Deutsche Erdöl-Aktiengesellschaft, Berlin.		321
Deutsche Benzinfabriken m. b. H., Berlin-Schöneberg.	company	1926	Berlin-Schöneberg	Schöneberg	52.4793491	13.3519181	2808272930	False	Deutsche Benzinfabriken m. b. H., Berlin-Schöneberg.		323
Deutscher Mineralöl-Verkaufsverein G. m. b. H., Berlin-Schöneberg.	company	1926	Berlin-Schöneberg	Schöneberg	52.4793491	13.3519181	2808272930	False	Deutscher Mineralöl-Verkaufsverein G. m. b. H., Berlin-Schöneberg.		324
Oelkontor G. m. b. H., Berlin-Schöneberg.	company	1926	Berlin-Schöneberg	Schöneberg	52.4793491	13.3519181	2808272930	False	Oelkontor G. m. b. H., Berlin-Schöneberg.		326
“Olex“ Aktiengesellschaft für Mineralölprodukte, Wien.	company	1926	Wien	Wien	48.2083537	16.3725042	109166	False	“Olex“ Aktiengesellschaft für Mineralölprodukte, Wien.		331
Ernst Reinhard G. m. b. H., Gelsenkirchen.	company	1926	Gelsenkirchen	Gelsenkirchen	51.5110321	7.0960124	62522	False	Ernst Reinhard G. m. b. H., Gelsenkirchen.		334
Piag Fettindustrie Aktiengesellschaft, Dortmund.	company	1926	Dortmund	Dortmund	51.5142273	7.4652789	1829065	False	Piag Fettindustrie Aktiengesellschaft, Dortmund.		339
Compes & Cie., Aktiengesellschaft, Düsseldorf.	company	1926	Düsseldorf	Düsseldorf	51.2254018	6.7763137	62539	False	Compes & Cie., Aktiengesellschaft, Düsseldorf.		340
Saarländische “Olex“ Petroleum-G. m. b. H., Saarbrücken.	company	1926	Saarbrücken	Saarbrücken	49.234362	6.996379	1187159	False	Saarländische “Olex“ Petroleum-G. m. b. H., Saarbrücken.		341
Aktiengesellschaft Ramsdorfer Braunkohlenwerke, Ramsdorf.	company	1926	Ramsdorf	Ramsdorf	51.8902663	6.9215629	33365697	False	Aktiengesellschaft Ramsdorfer Braunkohlenwerke, Ramsdorf.		343
“Buko“ Brikett- u. Kohlenhandels-A.-G., Leipzig.	company	1926	Leipzig	Leipzig	51.3406321	12.3747329	62649	False	“Buko“ Brikett- u. Kohlenhandels-A.-G., Leipzig.		344
Joseph Gautsch A.-G., München.	company	1926	München	München	48.1371079	11.5753822	62428	False	Joseph Gautsch A.-G., München.		345
Maatschappij Molorschip “Pim P“, Rotterdam.	company	1926	Rotterdam	Rotterdam	51.9244424	4.47775	1411101	False	Maatschappij Molorschip “Pim P“, Rotterdam.	place	346
“Olex“ Petroleum Import Maatschappij, Rotterdam.	company	1926	Rotterdam	Rotterdam	51.9244424	4.47775	1411101	False	“Olex“ Petroleum Import Maatschappij, Rotterdam.		348
Rheinisch-Westfälische Olex A.-G., Köln.	company	1926	Köln	Köln	50.938361	6.959974	62578	False	Rheinisch-Westfälische Olex A.-G., Köln.		349
Breiszer Braunkohlenwerke Aktiengesellschaft, Altenburg S.-A.	company	1926	Altenburg S.-A.	Altenburg	51.1191213	9.405876405625	217548091	False	Breiszer Braunkohlenwerke Aktiengesellschaft, Altenburg S.-A.		350
Salin- und Spiegelglasfabriken A.-G. in Fürth i. B.	company	1926	Fürth i. B.	Wandern im Landkreis Fürth, Burgfarnbach Bhf.Ost	49.490595	10.9240451	4052280992	False	Salin- und Spiegelglasfabriken A.-G. in Fürth i. B.		361
Badische Tabakmanufaktur “Roth Händle“ A.-G., Frankfurt a. M.	company	1926	Frankfurt a. M.	Frankfurt am Main	50.1106444	8.6820917	62400	False	Badische Tabakmanufaktur “Roth Händle“ A.-G., Frankfurt a. M.		371
Köln-Berliner Versicherungs-A.-G., Berlin.	company	1926	Berlin	Berlin	52.510885	13.3989367	62422	False	Köln-Berliner Versicherungs-A.-G., Berlin.		373
Berliner Flughafengesellschaft G. m. b. H.	company	1926	Berlin	Berlin	52.510885	13.3989367	62422	False	Berliner Flughafengesellschaft G. m. b. H.		378
Allgemeine Berliner Omnibus-Aktien-Gesellschaft	company	1926					-1	False	Allgemeine Berliner Omnibus-Aktien-Gesellschaft		380
Berliner Brennstoff G. m. b. H.	company	1926					-1	False	Berliner Brennstoff G. m. b. H.		381
Berliner Straßenbahn-Betriebs-G. m. b. H.	company	1926					-1	False	Berliner Straßenbahn-Betriebs-G. m. b. H.		382
Hoch- und Untergrundbahngesellschaft.	company	1926					-1	False	Hoch- und Untergrundbahngesellschaft.		383
Vereinigte Budapester Hauptstädtische Sparcassa in Budapest.	company	1926	Budapest	Budapest	47.4978789	19.0402383	1244004	False	Vereinigte Budapester Hauptstädtische Sparcassa in Budapest.		387
Straßenbau A.-G., Niederlahnstein.	company	1926	Niederlahnstein	Niederlahnstein	50.3145301	7.6021724	4307838282	False	Straßenbau A.-G., Niederlahnstein.		405
Bonner Bergwerks- und Hütten-Verein A.-G., Oberkassel b. Bonn.	company	1926	Oberkassel b. Bonn	Tunnel Oberkassel	50.71145862402104	7.176053939346726	4471055	False	Bonner Bergwerks- und Hütten-Verein A.-G., Oberkassel b. Bonn.		408
Düsseldorfer Eisenhütten-Gesellschaft, Ratingen.	company	1926	Ratingen	Ratingen	51.2973261	6.8493503	56682	False	Düsseldorfer Eisenhütten-Gesellschaft, Ratingen.		409
Kölnische Hausbesitz-Aktiengesellschaft, Köln.	company	1926	Köln	Köln	50.938361	6.959974	62578	False	Kölnische Hausbesitz-Aktiengesellschaft, Köln.		411
Eisenwerk Kaiserslautern.	company	1926	Kaiserslautern	Kaiserslautern	49.4432174	7.7689951	62652	False	Eisenwerk Kaiserslautern.		415
Gebrüder Adt Aktiengesellschaft, Wächtersbach.	company	1926	Wächtersbach	Wächtersbach	50.2544683	9.2924223	9866190	False	Gebrüder Adt Aktiengesellschaft, Wächtersbach.		421
Adt-Karcher Gutsverwaltung G. m. b. H., Bad Orb.	company	1926	Bad Orb	Bad Orb	50.2267544	9.3478635	535933	False	Adt-Karcher Gutsverwaltung G. m. b. H., Bad Orb.		423
Kammgarnspinnerei Kaiserslautern.	company	1926	Kaiserslautern	Kaiserslautern	49.4432174	7.7689951	62652	False	Kammgarnspinnerei Kaiserslautern.		425
Pfälzische Nähmaschinen- und Fahrräderfabrik vorm. Gebr. Kayser in Kaiserslautern.	company	1926	Kaiserslautern	Kaiserslautern	49.4432174	7.7689951	62652	False	Pfälzische Nähmaschinen- und Fahrräderfabrik vorm. Gebr. Kayser in Kaiserslautern.		426
Treuhand-Aktiengesellschaft, Leipzig.	company	1926	Leipzig	Leipzig	51.3406321	12.3747329	62649	False	Treuhand-Aktiengesellschaft, Leipzig.		430
Badische Bauernvereinsorganisationen.	company	1926					-1	False	Badische Bauernvereinsorganisationen.		438
Deutsche Bauernbank, Aktiengesellschaft.	company	1926					-1	False	Deutsche Bauernbank, Aktiengesellschaft.		440
Porzellan-Fabrik Lorenz Hutschenreuther A.-G.	company	1926					-1	False	Porzellan-Fabrik Lorenz Hutschenreuther A.-G.		444
Preußengrube A.-G.	company	1926					-1	False	Preußengrube A.-G.	place	453
Union Allgem. Versicherungs-A.-G., Berlin.	company	1926	Berlin	Berlin	52.510885	13.3989367	62422	False	Union Allgem. Versicherungs-A.-G., Berlin.		467
Otto Schmidt G. m. b. H., Oberweisen b. Diez a. d. Lahn.	company	1926	Oberweisen b. Diez a. d. Lahn				-1	False	Otto Schmidt G. m. b. H., Oberweisen b. Diez a. d. Lahn.		471
A.-G. Deutsche Kognakbrennerei vorm. Gruner & Co., Siegmar, Sachsen.	company	1926	Siegmar, Sachsen	Siegmar	50.8118685	12.8484739	414881	False	A.-G. Deutsche Kognakbrennerei vorm. Gruner & Co., Siegmar, Sachsen.		475
“Heracles“ Lebensversicherungsbank A.-G., Berlin.	company	1926	Berlin	Berlin	52.510885	13.3989367	62422	False	“Heracles“ Lebensversicherungsbank A.-G., Berlin.		477
“Zoologischer Garten“ Aktienverein, Dresden.	company	1926	Dresden	Dresden	51.0493286	13.7381437	191645	False	“Zoologischer Garten“ Aktienverein, Dresden.		479
Fabrik photographischer Papiere vorm. Dr. A. Kurz, Wernigerode.	company	1926	Wernigerode	Wernigerode	51.8344172	10.7862526	1352965	False	Fabrik photographischer Papiere vorm. Dr. A. Kurz, Wernigerode.		486
A.-G. d. Holler'schen Carlshütte b. Rendsburg.	company	1926	Rendsburg	Rendsburg	54.3000225	9.6516356	548570	False	A.-G. d. Holler'schen Carlshütte b. Rendsburg.		496
Landesbank der Provinz Schleswig-Holstein.	company	1926					-1	False	Landesbank der Provinz Schleswig-Holstein.		501
Deutsche Allgemeine Versicherungs-A.-G., Berlin.	company	1926	Berlin	Berlin	52.510885	13.3989367	62422	False	Deutsche Allgemeine Versicherungs-A.-G., Berlin.		506
Adler Brauerei in Köln-Ehrenfeld.	company	1926	Köln-Ehrenfeld	Köln-Ehrenfeld	50.9515024	6.9165293	4551541317	False	Adler Brauerei in Köln-Ehrenfeld.		514
A.-G. für chemische Industrie in Schalke i. W.	company	1926	Schalke i. W.				-1	False	A.-G. für chemische Industrie in Schalke i. W.		515
Hirschbrauerei A.G., Köln.	company	1926	Köln	Köln	50.938361	6.959974	62578	False	Hirschbrauerei A.G., Köln.		517
“Kurfürstenbad Godesberg“ A.-G., Godesberg.	company	1926	Godesberg	Bad Godesberg	50.6850682	7.156323	55070	False	“Kurfürstenbad Godesberg“ A.-G., Godesberg.		519
Bayerische Vereinsbank, Filiale Lindau i. B.	company	1926	Lindau i. B.	Lindau	47.7285223	8.0310869	2273778223	False	Bayerische Vereinsbank, Filiale Lindau i. B.		526
Mannheimer Dampfschleppschiffahrtsgesellschaft, Mannheim.	company	1926	Mannheim	Mannheim	49.4892913	8.4673098	62691	False	Mannheimer Dampfschleppschiffahrtsgesellschaft, Mannheim.		539
Deulsche Holzwirtschaftsbank A.-G., Berlin.	company	1926	Berlin	Berlin	52.510885	13.3989367	62422	False	Deulsche Holzwirtschaftsbank A.-G., Berlin.		547
Zuckerfabrik Salzwedel.	company	1926					-1	False	Zuckerfabrik Salzwedel.		551
Hochseefischerei Niederelbe Aktiengesellschaft Hamburg.	company	1926	Hamburg	Hamburg	53.550341	10.000654	62782	False	Hochseefischerei Niederelbe Aktiengesellschaft Hamburg.		555
Frankfurter Hypothekenbank, Frankfurt a. M.	company	1926	Frankfurt a. M.	Frankfurt am Main	50.1106444	8.6820917	62400	False	Frankfurter Hypothekenbank, Frankfurt a. M.		559
Landwirtschaftliche Maschinenfabrik, Eisenach A.-G.	company	1926	Eisenach A.-G.	Rond-Point d'Eisenach	49.6993542	4.928172453076714	983855216	False	Landwirtschaftliche Maschinenfabrik, Eisenach A.-G.		567
A.-G. der chemischen Produkten-Fabrik Pommerensdorf.	company	1926					-1	False	A.-G. der chemischen Produkten-Fabrik Pommerensdorf.		569
Pommersche Provinzial-Zuckersiederei, Stettin.	company	1926	Stettin	Stettin	53.42968095	14.592912670292268	342935	False	Pommersche Provinzial-Zuckersiederei, Stettin.		571
Kochs Adlernähmaschinen-Werke A.-G., Bielefeld.	company	1926	Bielefeld	Bielefeld	52.0191005	8.531007	62646	False	Kochs Adlernähmaschinen-Werke A.-G., Bielefeld.		579
Ala-Anzeigen-Aktiengesellschaft, Berlin.	company	1926	Berlin	Berlin	52.510885	13.3989367	62422	False	Ala-Anzeigen-Aktiengesellschaft, Berlin.		587
“Saxonia“ Leipziger Allgemeine Versicherungs-A.-G.	company	1926					-1	False	“Saxonia“ Leipziger Allgemeine Versicherungs-A.-G.		596
“Saxonia“ Leipziger Transport-Versicherungs-A.-G.	company	1926					-1	False	“Saxonia“ Leipziger Transport-Versicherungs-A.-G.		597
Mechanische Seidenweberei Viersen Aktiengesellschaft.	company	1926	Viersen	Viersen	51.2562118	6.3905476	88531	False	Mechanische Seidenweberei Viersen Aktiengesellschaft.		601
Crefelder Straßenbahn A.-G., Crefeld.	company	1926	Crefeld	Crefeld Close	51.48336283633198	-0.21506752681450939	3997663	False	Crefelder Straßenbahn A.-G., Crefeld.		605
Schaffner & Albert Aktiengesellschaft, Frankfurt a. M.	company	1926	Frankfurt a. M.	Frankfurt am Main	50.1106444	8.6820917	62400	False	Schaffner & Albert Aktiengesellschaft, Frankfurt a. M.		613
E. Baensch jun. Aktiengesellschaft, Magdeburg.	company	1926	Magdeburg	Magdeburg	52.1315889	11.6399609	62481	False	E. Baensch jun. Aktiengesellschaft, Magdeburg.		617
Chemische Werke vorm. H. & E. Albert, Biebrich a. Rh.	company	1926	Biebrich a. Rh.	Rhein-Main-Schnellweg	50.052593550000005	8.2384582	25920539	False	Chemische Werke vorm. H. & E. Albert, Biebrich a. Rh.		630
Buntpapierfabrik Aktiengesellschaft, Aschaffenburg.	company	1926	Aschaffenburg	Aschaffenburg	49.9706701	9.13848573082478	62532	False	Buntpapierfabrik Aktiengesellschaft, Aschaffenburg.		633
“Aliag“ Mühlenbau- und Industrie-A.-G., Frankfurt a. M.	company	1926	Frankfurt a. M.	Frankfurt am Main	50.1106444	8.6820917	62400	False	“Aliag“ Mühlenbau- und Industrie-A.-G., Frankfurt a. M.		640
Hildesheimer Bank in Hildesheim.	company	1926	Hildesheim	Hildesheim	52.1527188	9.9518083	1176503	False	Hildesheimer Bank in Hildesheim.		648
Credito Italiano, Mailand.	company	1926	Mailand	Mailand	45.4641943	9.1896346	44915	False	Credito Italiano, Mailand.		652
Bank für deutsche Industrie-Obligationen, Berlin.	company	1926	Berlin	Berlin	52.510885	13.3989367	62422	False	Bank für deutsche Industrie-Obligationen, Berlin.		654
Preußische Landespfandbriefanstalt, Berlin.	company	1926	Berlin	Berlin	52.510885	13.3989367	62422	False	Preußische Landespfandbriefanstalt, Berlin.		662
Hamburger Hof Aktiengesellschaft.	company	1926	Hamburg	Hamburg	53.550341	10.000654	62782	False	Hamburger Hof Aktiengesellschaft.		670
Römhildt-Aktiengesellschaft in Weimar.	company	1926	Weimar	Weimar	50.9769686	11.3275394	62493	False	Römhildt-Aktiengesellschaft in Weimar.		678
Riemüller & Sohn A.-G., Göttingen.	company	1926	Göttingen	Göttingen	51.5328328	9.9351811	191361	False	Riemüller & Sohn A.-G., Göttingen.		680
Berdux A.-G., München.	company	1926	München	München	48.1371079	11.5753822	62428	False	Berdux A.-G., München.		681
Fassindustrie A.-G. Hamburg.	company	1926	Hamburg	Hamburg	53.550341	10.000654	62782	False	Fassindustrie A.-G. Hamburg.		686
Assecuranz-Compagnie Hansa in Bremen.	company	1926	Bremen	Bremen	53.0758196	8.8071646	62559	False	Assecuranz-Compagnie Hansa in Bremen.		698
Bremer Kaufhaus, Bremen.	company	1926	Bremen	Bremen	53.0758196	8.8071646	62559	False	Bremer Kaufhaus, Bremen.		699
Deutsche Bank, Filiale Bremen.	company	1926	Bremen	Bremen	53.0758196	8.8071646	62559	False	Deutsche Bank, Filiale Bremen.		705
J. H. Eppen. A.-G. Papierfabrik, Winsen a. d. Lahn.	company	1926	Winsen a. d. Lahn				-1	False	J. H. Eppen. A.-G. Papierfabrik, Winsen a. d. Lahn.		715
“Papyrus“ Aktiengesellschaft Mannheim-Waldhof.	company	1926	Mannheim-Waldhof	Mannheim-Waldhof	49.5261774	8.4825676	60459785	False	“Papyrus“ Aktiengesellschaft Mannheim-Waldhof.		718
Gewerkschaft Carlshall, Lühnde.	company	1926	Lühnde	Lühnde	52.2729558	9.9480887	1521010562	False	Gewerkschaft Carlshall, Lühnde.		724
Eisen- u. Stahlwerk Lüdinghausen Akt.-Ges.	company	1926	Lüdinghausen	Lüdinghausen	51.7717757	7.444639	157722	False	Eisen- u. Stahlwerk Lüdinghausen Akt.-Ges.		729
Bayern-Salpeter- u. Stickstoff-A.-G. in Minden.	company	1926	Minden	Minden	52.2881045	8.9168852	139087	False	Bayern-Salpeter- u. Stickstoff-A.-G. in Minden.		742
Hermes Aktiengesellschaft, Bremen.	company	1926	Bremen	Bremen	53.0758196	8.8071646	62559	False	Hermes Aktiengesellschaft, Bremen.		748
Feldschlößchen-Brauerei A. G. zu Chemnitz-Kappel.	company	1926	Chemnitz-Kappel	Kappel	50.8139702	12.8880458	414883	False	Feldschlößchen-Brauerei A. G. zu Chemnitz-Kappel.		762
Anhalt-Dessauische Landesbank, Dessau.	company	1926	Dessau	Dessau	51.8309956	12.2430723	240061254	False	Anhalt-Dessauische Landesbank, Dessau.		766
Münchener Lichtspielkunst A. G., München.	company	1926	München	München	48.1371079	11.5753822	62428	False	Münchener Lichtspielkunst A. G., München.		770
Gebr. Schmitz A. G., Merken b. Düren.	company	1926	Merken b. Düren	Merken	50.8476422	6.4229354	6521840	False	Gebr. Schmitz A. G., Merken b. Düren.		776
